r,total_model,total_larch,diff,feffcu01dat_00
5.031456984264904e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.062136600022616e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.092816215780330e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.123495831538042e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.154175447295755e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.184855063053468e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.215534678811180e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.246214294568893e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.276893910326606e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.307573526084319e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.338253141842032e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.368932757599745e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.399612373357457e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.430291989115171e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.460971604872883e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.491651220630596e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.522330836388309e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.553010452146022e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.583690067903735e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.614369683661447e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.645049299419160e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.675728915176873e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.706408530934586e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.737088146692298e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.767767762450012e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.798447378207724e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.829126993965438e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.859806609723150e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.890486225480863e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.921165841238576e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.951845456996288e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.982525072754001e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.013204688511714e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.043884304269427e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.074563920027139e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.105243535784853e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.166602767300279e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.197282383057991e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.227961998815704e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.258641614573417e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.289321230331129e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.320000846088842e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.350680461846555e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.381360077604268e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.412039693361981e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.442719309119694e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.473398924877406e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.504078540635120e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.534758156392832e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.565437772150545e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.596117387908258e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.626797003665970e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.657476619423684e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.688156235181396e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.718835850939109e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.749515466696822e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.780195082454535e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.810874698212247e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.841554313969961e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.872233929727673e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.902913545485386e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.933593161243099e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.964272777000811e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.994952392758525e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.025632008516237e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.056311624273950e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.086991240031663e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.117670855789376e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.148350471547088e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.179030087304802e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.209709703062514e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.240389318820228e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.271068934577940e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.301748550335653e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.332428166093366e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.363107781851078e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.393787397608791e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.424467013366504e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.455146629124217e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.485826244881930e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.516505860639643e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.547185476397355e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.577865092155069e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.608544707912781e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.639224323670494e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.669903939428207e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.700583555185919e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.731263170943633e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.761942786701345e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.792622402459058e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.823302018216771e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.853981633974484e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.884661249732196e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.915340865489910e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.946020481247622e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.976700097005335e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.007379712763047e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.038059328520761e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.068738944278474e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.099418560036186e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.130098175793899e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.160777791551611e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.191457407309326e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.222137023067038e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.252816638824751e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.283496254582463e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.314175870340176e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.344855486097888e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
